iter	Passed	Remaining
674	1340	645
675	1343	643
676	1344	641
677	1346	639
678	1347	636
679	1348	634
680	1350	632
681	1352	630
682	1353	628
683	1355	626
684	1357	624
685	1358	621
686	1360	619
687	1361	617
688	1363	615
689	1365	613
690	1366	611
691	1368	609
692	1370	607
693	1372	605
694	1373	602
695	1375	600
696	1377	598
697	1379	596
698	1380	594
699	1382	592
700	1384	590
701	1385	588
702	1387	586
703	1389	584
704	1390	582
705	1392	579
706	1394	577
707	1395	575
708	1397	573
709	1398	571
710	1400	569
711	1402	567
712	1404	565
713	1405	563
714	1407	561
715	1409	559
716	1411	557
717	1415	555
718	1417	553
719	1418	551
720	1420	549
721	1422	547
722	1423	545
723	1425	543
724	1426	541
725	1429	539
726	1431	537
727	1435	536
728	1437	534
729	1439	532
730	1441	530
731	1444	528
732	1446	527
733	1448	524
734	1450	522
735	1451	520
736	1453	518
737	1455	516
738	1457	514
739	1459	512
740	1461	510
741	1464	509
742	1466	507
743	1468	505
744	1470	503
745	1472	501
746	1474	499
747	1476	497
748	1479	495
749	1481	493
750	1482	491
751	1484	489
752	1486	487
753	1487	485
754	1489	483
755	1491	481
756	1494	479
757	1496	477
758	1498	475
759	1500	473
760	1502	471
761	1504	469
762	1506	467
763	1508	465
764	1510	464
765	1512	462
766	1514	460
767	1516	458
768	1518	456
769	1519	454
770	1523	452
771	1526	450
772	1527	448
773	1530	446
774	1531	444
775	1533	442
776	1534	440
777	1539	439
778	1541	437
779	1543	435
780	1544	433
781	1546	431
782	1548	429
783	1549	427
784	1551	424
785	1553	422
786	1555	421
787	1557	418
788	1559	416
789	1560	414
790	1562	412
791	1564	410
792	1565	408
793	1567	406
794	1569	404
795	1571	402
796	1572	400
797	1574	398
798	1575	396
799	1577	394
800	1579	392
801	1580	390
802	1582	388
803	1583	386
804	1585	384
805	1587	382
806	1589	380
807	1591	378
808	1593	376
809	1594	374
810	1596	372
811	1598	369
812	1599	367
813	1601	365
814	1603	363
815	1605	361
816	1607	360
817	1609	358
818	1611	356
819	1613	354
820	1615	352
821	1617	350
822	1619	348
823	1621	346
824	1622	344
825	1624	342
826	1626	340
827	1628	338
828	1631	336
829	1633	334
830	1635	332
831	1637	330
832	1639	328
833	1641	326
834	1643	324
835	1646	322
836	1648	320
837	1650	319
838	1652	317
839	1655	315
840	1657	313
841	1659	311
842	1661	309
843	1663	307
844	1669	306
845	1672	304
846	1674	302
847	1679	301
848	1682	299
849	1683	297
850	1686	295
851	1688	293
852	1690	291
853	1693	289
854	1695	287
855	1697	285
856	1698	283
857	1700	281
858	1702	279
859	1704	277
860	1706	275
861	1708	273
862	1710	271
863	1712	269
864	1714	267
865	1715	265
866	1717	263
867	1719	261
868	1720	259
869	1722	257
870	1725	255
871	1726	253
872	1728	251
873	1730	249
874	1731	247
875	1733	245
876	1735	243
877	1736	241
878	1738	239
879	1740	237
880	1742	235
881	1743	233
882	1745	231
883	1747	229
884	1748	227
885	1750	225
886	1751	223
887	1753	221
888	1755	219
889	1756	217
890	1758	215
891	1760	213
892	1761	211
893	1763	209
894	1765	207
895	1766	205
896	1768	203
897	1770	201
898	1771	199
899	1777	197
900	1778	195
901	1780	193
902	1782	191
903	1786	189
904	1788	187
905	1790	185
906	1791	183
907	1793	181
908	1795	179
909	1797	177
910	1799	175
911	1801	173
912	1803	171
913	1804	169
914	1806	167
915	1808	165
916	1809	163
917	1811	161
918	1813	159
919	1815	157
920	1817	155
921	1819	153
922	1820	151
923	1822	149
924	1824	147
925	1826	145
926	1827	143
927	1829	141
928	1831	139
929	1833	137
930	1834	135
931	1836	133
932	1837	131
933	1839	129
934	1841	128
935	1843	126
936	1844	124
937	1846	122
938	1848	120
939	1849	118
940	1851	116
941	1852	114
942	1854	112
943	1856	110
944	1857	108
945	1859	106
946	1861	104
947	1862	102
948	1864	100
949	1866	98
950	1868	96
951	1870	94
952	1871	92
953	1873	90
954	1875	88
955	1876	86
956	1878	84
957	1880	82
958	1881	80
959	1883	78
960	1885	76
961	1887	74
962	1888	72
963	1890	70
964	1892	68
965	1894	66
966	1895	64
967	1897	62
968	1899	60
969	1900	58
970	1902	56
971	1903	54
972	1905	52
973	1906	50
974	1908	48
975	1910	46
976	1914	45
977	1915	43
978	1917	41
979	1919	39
980	1921	37
981	1922	35
982	1924	33
983	1926	31
984	1927	29
985	1929	27
986	1931	25
987	1932	23
988	1934	21
989	1935	19
990	1937	17
991	1939	15
992	1940	13
993	1942	11
994	1944	9
995	1945	7
996	1947	5
997	1948	3
998	1950	1
999	1952	0
